Date,Open,High,Low,Vol.,Change %,Price
12/29/2023,2076.35,2084.05,2071.05,,-0.49%,2073.2
12/28/2023,2089.50,2098.20,2074.60,,0.00%,2083.5
12/27/2023,2068.00,2085.30,2063.30,0.59K,1.12%,2083.4
12/26/2023,2056.30,2069.60,2056.30,0.29K,-0.30%,2060.4
12/25/2023,2065.30,2067.60,2065.30,,0.34%,2066.65
12/22/2023,2051.50,2072.30,2049.40,0.44K,0.87%,2059.6
12/21/2023,2034.70,2048.00,2034.00,0.54K,0.18%,2041.8
12/20/2023,2043.50,2045.90,2031.60,0.26K,-0.22%,2038.1
12/19/2023,2031.00,2050.00,2025.40,0.47K,0.58%,2042.6
12/18/2023,2023.70,2036.30,2020.80,0.25K,0.24%,2030.9
12/15/2023,2038.00,2049.60,2020.00,0.63K,-0.45%,2026
12/14/2023,2031.60,2053.00,2030.60,0.56K,2.37%,2035.2
12/13/2023,1985.50,2033.30,1979.00,2.22K,0.21%,1988.1
12/12/2023,1989.00,2002.70,1983.50,0.57K,-0.49%,1983.9
12/11/2023,2020.00,2023.70,1991.20,160.07K,-1.03%,1993.7
12/8/2023,2045.70,2050.40,2010.60,237.29K,-1.56%,2014.5
12/7/2023,2043.40,2057.20,2036.60,173.98K,-0.07%,2046.4
12/6/2023,2037.80,2053.40,2035.30,154.22K,0.57%,2047.9
12/5/2023,2049.00,2059.60,2027.60,209.55K,-0.29%,2036.3
12/4/2023,2094.40,2152.30,2038.40,378.22K,-2.27%,2042.2
12/1/2023,2056.50,2095.70,2052.60,241.62K,1.58%,2089.7
11/30/2023,2065.40,2067.40,2051.20,151.92K,-0.48%,2057.2
11/29/2023,2062.00,2072.70,2055.90,197.79K,0.81%,2067.1
11/28/2023,2025.00,2054.40,2022.90,1.86K,1.35%,2050.5
11/27/2023,2012.90,2027.50,2012.70,1.06K,0.47%,2023.1
11/24/2023,2002.50,2014.10,2002.00,0.52K,0.95%,2013.7
11/23/2023,1991.60,1999.40,1990.85,,-0.43%,1994.75
11/22/2023,2010.40,2015.00,1999.80,0.67K,-0.43%,2003.4
11/21/2023,1994.10,2019.50,1993.20,0.67K,1.07%,2012
11/20/2023,1997.90,1997.90,1978.10,0.31K,0.30%,1990.7
11/17/2023,1984.20,1996.40,1981.10,133.12K,-0.13%,1984.7
11/16/2023,1963.00,1991.10,1959.00,186.81K,1.17%,1987.3
11/15/2023,1966.90,1979.20,1958.80,142.92K,-0.11%,1964.3
11/14/2023,1950.30,1975.30,1938.80,180.74K,0.84%,1966.5
11/13/2023,1943.40,1953.50,1935.60,183.70K,0.65%,1950.2
11/10/2023,1964.10,1965.60,1936.90,229.64K,-1.63%,1937.7
11/9/2023,1955.50,1971.50,1948.30,214.08K,0.61%,1969.8
11/8/2023,1975.30,1977.50,1953.20,189.36K,-0.80%,1957.8
11/7/2023,1984.80,1985.20,1962.80,218.95K,-0.76%,1973.5
11/6/2023,1999.40,2000.10,1984.20,146.28K,-0.53%,1988.6
11/3/2023,1993.50,2011.90,1989.30,222.19K,0.29%,1999.2
